"";"model";"data";"error"
"1";"CART";"Glass";46,46
"2";"SVM";"Glass";29
"3";"RF";"Glass";20,28
"4";"Adaboost";"Glass";23
"5";"CART";"Letters";95,93
"6";"SVM";"Letters";5
"7";"RF";"Letters";3,12
"8";"Adaboost";"Letters";NA
"9";"CART";"Sonar";27,74
"10";"SVM";"Sonar";18
"11";"RF";"Sonar";14,13
"12";"Adaboost";"Sonar";14
"13";"CART";"Abalone";46,34
"14";"SVM";"Abalone";44
"15";"RF";"Abalone";44,84
"16";"Adaboost";"Abalone";68
"17";"CART";"Ionosphere";14,58
"18";"SVM";"Ionosphere";6
"19";"RF";"Ionosphere";6,5
"20";"Adaboost";"Ionosphere";7
